iter	RMSE
0	0.494715403
1	0.4860779801
2	0.4782489183
3	0.4708263911
4	0.4643864384
5	0.4581455009
6	0.4525552827
7	0.4471478435
8	0.4424496558
9	0.4379239594
10	0.4332974698
11	0.4293916103
12	0.4253686118
13	0.4216818631
14	0.418372756
15	0.4152313474
16	0.4123656469
17	0.4097823408
18	0.4073697895
19	0.404969623
20	0.4028283099
21	0.4009591837
22	0.3989698854
23	0.3972953067
24	0.3955260736
25	0.3939907295
26	0.3925410613
27	0.391271461
28	0.3900512404
29	0.3889268525
30	0.3878785015
31	0.3869150107
32	0.3859940641
33	0.3851436052
34	0.3841780556
35	0.383329399
36	0.3825367872
37	0.3818012439
38	0.3811378346
39	0.3803293529
40	0.3797526099
41	0.379184669
42	0.3784852369
43	0.3779515149
44	0.3774332123
45	0.3768838635
46	0.3763238878
47	0.3758579018
48	0.3754198352
49	0.3750310957
50	0.3745798296
51	0.3741593814
52	0.3738019121
53	0.3734748782
54	0.3730507519
55	0.3726630624
56	0.3722953434
57	0.3720206037
58	0.3717692963
59	0.371515523
60	0.3711848693
61	0.3709481999
62	0.3706473429
63	0.3702207461
64	0.3700342895
65	0.3697771395
66	0.3694805058
67	0.3692108433
68	0.3689375799
69	0.3687475065
70	0.3685046601
71	0.3682475411
72	0.368014837
73	0.3678464692
74	0.3676523205
75	0.3674238927
76	0.3671242192
77	0.3669163926
78	0.3667468276
79	0.3665010225
80	0.3663042978
81	0.3661094092
82	0.3658381651
83	0.365636465
84	0.3654416269
85	0.3653116377
86	0.3651279435
87	0.3648644369
88	0.3647308852
89	0.3644725532
90	0.3643481409
91	0.3642024495
92	0.3640475362
93	0.3639313695
94	0.3637955624
95	0.3636367125
96	0.363472973
97	0.3633105933
98	0.3632075543
99	0.36304484
100	0.3628352528
101	0.3626706227
102	0.3625458866
103	0.3624217394
104	0.3623035031
105	0.3621621515
106	0.3620429064
107	0.3618898214
108	0.3617798671
109	0.3616205868
110	0.3614947814
111	0.3613471407
112	0.3612382093
113	0.3610622272
114	0.3609240873
115	0.360772328
116	0.3606554264
117	0.3605486768
118	0.3603644364
119	0.3601755972
120	0.3600720555
121	0.35994141
122	0.3597813598
123	0.3596819154
124	0.3595901542
125	0.3594474672
126	0.3593553535
127	0.3592390604
128	0.3591402431
129	0.3590152851
130	0.358902675
131	0.3587965412
132	0.358718255
133	0.3585982035
134	0.3585440509
135	0.3584334686
136	0.3582896053
137	0.3581697288
138	0.3580808402
139	0.3580106209
140	0.3579415797
141	0.3578055967
142	0.3577290766
143	0.3575878565
144	0.3574819636
145	0.357401211
146	0.3572799637
147	0.3571788833
148	0.3570881134
149	0.3569617794
150	0.3568323085
151	0.3566094413
152	0.3565185024
153	0.356399963
154	0.3563165857
155	0.3562362839
156	0.3561233055
157	0.3560706417
158	0.356002248
159	0.3559143834
160	0.3557931645
161	0.3557248629
162	0.3556639411
163	0.3555819004
164	0.355469604
165	0.3553778074
166	0.3553307998
167	0.35518916
168	0.3550821948
169	0.355023378
170	0.354956695
171	0.3548862203
172	0.3548077455
173	0.354685755
174	0.3545473332
175	0.3544810333
176	0.3543161981
177	0.3541865065
178	0.3541175973
179	0.3540249055
180	0.3539789114
181	0.3538548531
182	0.3537705712
183	0.3537045115
184	0.3536188742
185	0.3535189355
186	0.3534156768
187	0.353358584
188	0.3532438714
189	0.3531972073
190	0.3530395321
191	0.3529600685
192	0.3529185486
193	0.3528508636
194	0.3527605686
195	0.3526874169
196	0.3525604403
197	0.352481878
198	0.3523665632
199	0.352296157
200	0.3522163067
201	0.3521328605
202	0.3520884479
203	0.3520258876
204	0.3519319904
205	0.3518400781
206	0.3517268522
207	0.3515910707
208	0.3515362967
209	0.3514812542
210	0.3514189155
211	0.3513325316
212	0.3512565985
213	0.3512018452
214	0.3511346955
215	0.351073709
216	0.350998235
217	0.3509312986
218	0.3508839408
219	0.3508247213
220	0.3507591738
221	0.3506746532
222	0.3506276132
223	0.3505716706
224	0.3505137029
225	0.3504295933
226	0.3503764921
227	0.3502115275
228	0.350117033
229	0.3500565189
230	0.349992425
231	0.3499088212
232	0.3498543235
233	0.3497846814
234	0.3497297188
235	0.3495202449
236	0.3494680251
237	0.3494163835
238	0.3493718196
239	0.3493247486
240	0.3492655465
241	0.3491913735
242	0.3491016434
243	0.3490103989
244	0.3488694175
245	0.3487695739
246	0.3486501496
247	0.3485536074
248	0.3485064495
249	0.348436247
250	0.3483658208
251	0.348292823
252	0.3482156783
253	0.3480965266
254	0.3480161059
255	0.3479603802
256	0.3479215296
257	0.3478239864
258	0.3477235414
259	0.3476616005
260	0.3475719324
261	0.347478287
262	0.3474388519
263	0.3473166439
264	0.3472551849
265	0.347207585
266	0.3471709212
267	0.3471182685
268	0.3470787427
269	0.3469731754
270	0.346923836
271	0.3468697743
272	0.3467936478
273	0.3467288266
274	0.3466732104
275	0.3465927936
276	0.3465186924
277	0.3464168353
278	0.3462940644
279	0.3462088921
280	0.3461225263
281	0.3460433842
282	0.3459778192
283	0.3459032437
284	0.3458113658
285	0.3457819157
286	0.3457241281
287	0.3456274293
288	0.3455528073
289	0.3455206015
290	0.345378005
291	0.3453010167
292	0.3452642817
293	0.3451668958
294	0.345114562
295	0.3450507097
296	0.345006391
297	0.3449362635
298	0.3448808466
299	0.3448210315
300	0.3447494375
301	0.3446604261
302	0.344589364
303	0.3445317264
304	0.3444879076
305	0.3444086134
306	0.3443277203
307	0.344243471
308	0.3441893937
309	0.3440666961
310	0.344004617
311	0.3439327024
312	0.3438697707
313	0.3438227677
314	0.3437688656
315	0.3437246326
316	0.3436825478
317	0.3436416273
318	0.3435926571
319	0.3435144071
320	0.3434547011
321	0.3434054281
322	0.3433124912
323	0.3431852048
324	0.3431310063
325	0.3430531898
326	0.3429921279
327	0.3429704543
328	0.3429280532
329	0.3428924389
330	0.3428383335
331	0.3427457392
332	0.3426833524
333	0.3426278825
334	0.3425526856
335	0.3424742393
336	0.3424311574
337	0.3423660397
338	0.3423146777
339	0.3422498808
340	0.34217882
341	0.3421018775
342	0.3420447422
343	0.34200161
344	0.3419521639
345	0.3418465041
346	0.3417905549
347	0.3416730982
348	0.3416396636
349	0.3415546337
350	0.3414453127
351	0.3413506717
352	0.3412801434
353	0.3412444298
354	0.3412246615
355	0.3412045783
356	0.3410987038
357	0.3410647978
358	0.3409930762
359	0.3409482345
360	0.3408882554
361	0.3408357278
362	0.3408119469
363	0.3407519479
364	0.3407139793
365	0.3406897806
366	0.3406306745
367	0.3405276676
368	0.3404840065
369	0.3404408024
370	0.3403964023
371	0.3403326625
372	0.3402882219
373	0.3401846792
374	0.3401377564
375	0.3400811529
376	0.3400333264
377	0.3399782165
378	0.3399388977
379	0.3399062679
380	0.3398587429
381	0.3398182517
382	0.3397476129
383	0.3397001332
384	0.3396694196
385	0.3396375844
386	0.3395993518
387	0.3395033951
388	0.3394495314
389	0.3393951742
390	0.3393224206
391	0.339276629
392	0.3392346494
393	0.3392196298
394	0.339196811
395	0.3391579428
396	0.3390630578
397	0.3389915577
398	0.3389629474
399	0.338914556
400	0.3388612556
401	0.3388140034
402	0.3387616901
403	0.3387342953
404	0.3386639037
405	0.338559014
406	0.3384931027
407	0.3384691042
408	0.3384006204
409	0.33838013
410	0.338341537
411	0.3383235323
412	0.3382784717
413	0.3381889746
414	0.3381361584
415	0.3380910173
416	0.3380339285
417	0.3379886459
418	0.3379256834
419	0.3378385755
420	0.3378138019
421	0.3377417189
422	0.3377325597
423	0.3376781084
424	0.3376060357
425	0.3375610366
426	0.3374786248
427	0.3373918143
428	0.3373493267
429	0.3373249616
430	0.3372732007
431	0.3372276628
432	0.3372213231
433	0.3371726539
434	0.3371530766
435	0.3371091222
436	0.3370821592
437	0.3370275991
438	0.3369848133
439	0.3369233743
440	0.3368962848
441	0.3368898374
442	0.3368276337
443	0.3367804779
444	0.3367591604
445	0.3367213907
446	0.3366455151
447	0.3365644405
448	0.3365071921
449	0.3364690826
450	0.3364131711
451	0.336353923
452	0.336291163
453	0.3362086091
454	0.3361488379
455	0.3361111376
456	0.3360518948
457	0.3360132458
458	0.3359714899
459	0.3359071258
460	0.3358428507
461	0.3357820139
462	0.3357195673
