iter	Passed	Remaining
0	156	156061
1	172	85983
2	185	61665
3	194	48346
4	200	39915
5	205	34124
6	211	30013
7	216	26824
8	221	24420
9	227	22477
10	231	20853
11	237	19561
12	242	18413
13	249	17542
14	255	16747
15	260	16036
16	266	15395
17	271	14811
18	277	14319
19	282	13863
20	288	13436
21	292	13019
22	298	12672
23	304	12386
24	311	12136
25	317	11892
26	324	11676
27	328	11420
28	333	11178
29	339	10977
30	344	10765
31	350	10591
32	354	10393
33	359	10209
34	363	10029
35	368	9862
36	375	9781
37	381	9651
38	385	9495
39	389	9339
40	392	9189
41	397	9061
42	401	8929
43	405	8807
44	409	8691
45	414	8592
46	419	8500
47	423	8401
48	427	8304
49	432	8221
50	437	8143
51	442	8062
52	446	7976
53	450	7894
54	455	7821
55	460	7757
56	465	7694
57	469	7625
58	474	7562
59	479	7514
60	484	7464
61	490	7413
62	495	7364
63	501	7329
64	506	7280
65	510	7230
66	514	7169
67	519	7114
68	523	7062
69	527	7006
70	531	6954
71	536	6915
72	541	6876
73	545	6829
74	549	6781
75	553	6732
76	558	6690
77	562	6647
78	566	6609
79	571	6571
80	575	6531
81	580	6502
82	586	6478
83	590	6441
84	595	6408
85	599	6371
86	603	6331
87	607	6295
88	611	6258
89	615	6221
90	618	6182
91	622	6147
92	626	6112
93	630	6076
94	634	6045
95	638	6014
96	643	5988
97	647	5956
98	650	5924
99	655	5896
100	660	5881
101	664	5853
102	668	5825
103	673	5798
104	677	5774
105	681	5747
106	685	5723
107	689	5696
108	693	5668
109	697	5642
110	701	5617
111	706	5599
112	710	5577
113	714	5555
114	719	5537
115	723	5515
116	728	5499
117	733	5483
118	737	5462
119	742	5445
120	746	5423
121	753	5424
122	758	5408
123	762	5389
124	766	5367
125	770	5345
126	774	5322
127	779	5312
128	784	5294
129	788	5275
130	792	5257
131	796	5237
132	800	5218
133	804	5199
134	808	5178
135	812	5160
136	816	5140
137	820	5122
138	824	5109
139	829	5095
140	834	5082
141	839	5070
142	843	5055
143	848	5042
144	852	5026
145	856	5008
146	860	4991
147	864	4974
148	868	4957
149	871	4941
150	875	4924
151	879	4907
152	884	4894
153	888	4882
154	893	4868
155	898	4859
156	902	4848
157	907	4837
158	912	4828
159	917	4815
160	922	4808
161	928	4800
162	932	4789
163	937	4776
164	942	4768
165	946	4757
166	951	4743
167	955	4733
168	960	4722
169	964	4708
170	968	4694
171	977	4705
172	985	4709
173	992	4710
174	998	4709
175	1003	4699
176	1011	4704
177	1015	4691
178	1020	4680
179	1024	4667
180	1028	4654
181	1033	4644
182	1037	4630
183	1041	4616
184	1048	4619
185	1053	4610
186	1058	4601
187	1063	4594
188	1068	4585
189	1073	4576
190	1078	4567
191	1082	4557
192	1086	4544
193	1091	4533
194	1096	4527
195	1101	4518
196	1106	4508
197	1110	4499
198	1116	4493
199	1120	4483
200	1125	4473
201	1130	4465
202	1134	4455
203	1139	4445
204	1143	4434
205	1147	4422
206	1151	4412
207	1156	4402
208	1160	4392
209	1164	4380
210	1169	4372
211	1173	4362
212	1177	4352
213	1182	4342
214	1186	4332
215	1191	4325
216	1197	4319
217	1202	4312
218	1206	4304
219	1211	4295
220	1216	4287
221	1220	4278
222	1225	4268
223	1229	4259
224	1233	4248
225	1237	4238
226	1241	4228
227	1246	4219
228	1250	4208
229	1253	4197
230	1257	4187
231	1263	4181
232	1267	4173
233	1272	4164
234	1276	4156
235	1281	4147
236	1285	4137
237	1289	4128
238	1295	4124
239	1300	4116
240	1304	4107
241	1308	4098
242	1312	4087
243	1316	4078
244	1320	4069
245	1324	4059
246	1328	4049
247	1332	4039
248	1336	4030
249	1340	4020
250	1344	4011
251	1348	4002
252	1353	3995
253	1358	3988
254	1362	3980
255	1366	3970
256	1370	3961
257	1374	3952
258	1378	3943
259	1382	3935
260	1386	3925
261	1390	3916
262	1394	3906
263	1398	3898
264	1402	3889
265	1406	3880
266	1410	3871
267	1414	3863
268	1418	3854
269	1422	3846
270	1426	3837
271	1431	3831
272	1436	3825
273	1440	3817
274	1446	3812
275	1451	3807
276	1455	3799
277	1461	3794
278	1466	3788
279	1470	3780
280	1474	3772
281	1478	3765
282	1483	3757
283	1487	3749
284	1491	3741
285	1495	3732
286	1500	3728
287	1505	3722
288	1510	3715
289	1514	3707
290	1518	3699
291	1522	3691
292	1526	3682
293	1530	3676
294	1534	3667
295	1539	3661
296	1544	3654
297	1548	3647
298	1552	3640
299	1557	3633
300	1561	3626
301	1565	3618
302	1569	3611
303	1573	3603
304	1577	3594
305	1581	3586
306	1585	3578
307	1589	3571
308	1593	3564
309	1597	3556
310	1602	3549
311	1606	3542
312	1611	3536
313	1615	3529
314	1619	3522
315	1624	3515
316	1627	3507
317	1631	3499
318	1636	3494
319	1640	3486
320	1644	3478
321	1648	3470
322	1652	3463
323	1656	3455
324	1660	3448
325	1664	3441
326	1668	3434
327	1672	3426
328	1676	3418
329	1680	3411
330	1684	3404
331	1688	3397
332	1692	3389
333	1697	3384
334	1702	3379
335	1707	3373
336	1711	3367
337	1715	3360
338	1719	3353
339	1724	3347
340	1728	3340
341	1732	3332
342	1736	3325
343	1740	3318
344	1744	3311
345	1748	3304
346	1752	3297
347	1756	3291
348	1760	3283
349	1764	3276
350	1768	3269
351	1772	3263
352	1777	3257
353	1780	3249
354	1784	3242
355	1789	3237
356	1794	3231
357	1798	3224
358	1803	3219
359	1807	3213
360	1811	3206
361	1814	3198
362	1818	3191
363	1822	3185
364	1826	3177
365	1830	3170
366	1834	3164
367	1839	3158
368	1843	3152
369	1847	3145
370	1851	3138
371	1855	3132
372	1859	3126
373	1864	3119
374	1867	3113
375	1871	3106
376	1875	3099
377	1879	3093
378	1883	3086
379	1888	3080
380	1893	3075
381	1896	3068
382	1901	3062
383	1905	3056
384	1909	3050
385	1913	3044
386	1917	3037
387	1921	3030
388	1925	3024
389	1929	3017
390	1933	3011
391	1937	3005
392	1942	2999
393	1946	2994
394	1950	2988
395	1955	2982
396	1959	2975
397	1963	2970
398	1967	2964
399	1972	2958
400	1976	2952
401	1980	2946
402	1984	2940
403	1988	2934
404	1993	2928
405	1997	2922
406	2002	2917
407	2006	2910
408	2010	2904
409	2014	2899
410	2019	2894
411	2024	2889
412	2028	2883
413	2033	2878
414	2037	2872
415	2041	2866
416	2046	2861
417	2050	2855
418	2054	2849
419	2058	2843
420	2063	2837
421	2068	2833
422	2073	2827
423	2077	2821
424	2081	2816
425	2085	2809
426	2089	2804
427	2093	2798
428	2098	2792
429	2101	2786
430	2105	2780
431	2110	2774
432	2114	2769
433	2119	2763
434	2123	2758
435	2127	2752
436	2131	2746
437	2135	2740
438	2140	2735
439	2145	2730
440	2150	2725
441	2155	2720
442	2159	2715
443	2163	2709
444	2167	2703
445	2172	2698
446	2176	2692
447	2180	2687
448	2186	2683
449	2191	2678
450	2195	2672
451	2200	2667
452	2204	2661
453	2208	2656
454	2212	2650
455	2217	2645
456	2221	2639
457	2226	2634
458	2231	2630
459	2237	2626
460	2242	2621
461	2248	2617
462	2252	2612
463	2257	2607
464	2261	2601
465	2265	2595
466	2269	2590
467	2273	2584
468	2277	2578
469	2281	2572
470	2285	2566
471	2290	2561
472	2293	2555
473	2298	2550
474	2302	2544
475	2307	2540
476	2311	2534
477	2315	2528
478	2319	2523
479	2323	2517
480	2328	2512
481	2332	2507
482	2337	2501
483	2341	2496
484	2345	2490
485	2349	2484
486	2353	2479
487	2357	2473
488	2361	2467
489	2365	2462
490	2369	2456
491	2373	2451
492	2378	2445
493	2382	2440
494	2386	2434
495	2390	2428
496	2394	2423
497	2399	2418
498	2403	2412
499	2407	2407
500	2412	2402
501	2417	2398
502	2421	2393
503	2426	2387
504	2430	2382
505	2434	2376
506	2438	2370
507	2442	2366
508	2447	2360
509	2451	2355
510	2455	2349
511	2459	2344
512	2463	2338
513	2467	2333
514	2472	2328
515	2478	2324
516	2482	2319
517	2486	2314
518	2491	2309
519	2496	2304
520	2501	2299
521	2507	2295
522	2512	2291
523	2518	2288
524	2524	2284
525	2531	2280
526	2536	2276
527	2543	2273
528	2549	2270
529	2555	2266
530	2561	2262
531	2568	2259
532	2574	2255
533	2581	2252
534	2588	2250
535	2595	2247
536	2606	2247
537	2612	2243
538	2619	2240
539	2626	2237
540	2633	2234
541	2639	2230
542	2645	2226
543	2651	2222
544	2656	2217
545	2661	2213
546	2666	2208
547	2672	2204
548	2678	2200
549	2683	2195
550	2688	2190
551	2693	2186
552	2698	2181
553	2703	2176
554	2707	2171
555	2712	2166
556	2717	2161
557	2723	2157
558	2728	2152
559	2733	2147
560	2738	2142
561	2743	2138
562	2749	2133
563	2754	2129
564	2758	2124
565	2764	2119
566	2769	2114
567	2774	2109
568	2779	2105
569	2784	2100
570	2789	2095
571	2794	2090
572	2798	2085
573	2803	2080
574	2808	2075
575	2813	2070
576	2817	2065
577	2822	2060
578	2826	2055
579	2831	2050
580	2836	2045
581	2840	2040
582	2845	2035
583	2850	2030
584	2856	2026
585	2861	2021
586	2866	2016
587	2870	2011
588	2875	2006
589	2880	2001
590	2884	1996
591	2888	1990
592	2893	1985
593	2898	1980
594	2903	1976
595	2907	1971
596	2912	1965
597	2917	1961
598	2922	1956
599	2927	1951
600	2931	1946
601	2936	1941
602	2940	1936
603	2945	1931
604	2950	1926
605	2954	1921
606	2959	1915
607	2964	1911
608	2968	1905
609	2972	1900
610	2977	1895
611	2982	1890
612	2987	1886
613	2992	1881
614	2997	1876
615	3001	1871
616	3006	1866
617	3011	1861
618	3016	1856
619	3020	1851
620	3026	1846
621	3031	1842
622	3035	1837
623	3040	1832
624	3045	1827
625	3051	1822
626	3055	1817
627	3060	1813
628	3065	1808
629	3070	1803
630	3075	1798
631	3079	1793
632	3084	1788
633	3088	1783
634	3093	1778
635	3098	1773
636	3102	1768
637	3107	1763
638	3112	1758
639	3117	1753
640	3122	1748
641	3127	1744
642	3133	1739
643	3137	1734
644	3142	1729
645	3147	1724
646	3151	1719
647	3156	1714
648	3161	1709
649	3166	1705
650	3172	1700
651	3176	1695
652	3181	1690
653	3186	1685
654	3191	1680
655	3195	1675
656	3199	1670
657	3204	1665
658	3209	1660
659	3214	1655
660	3219	1651
661	3223	1645
662	3228	1641
663	3233	1636
664	3237	1631
665	3242	1625
666	3246	1620
667	3251	1615
668	3256	1611
669	3260	1606
670	3266	1601
671	3270	1596
